40.27s, 2, blue, Exit
40.30s, 4, blue, Entry
40.33s, 2, blue, Exit
40.40s, 4, blue, Entry
40.43s, 3, red, Exit
40.47s, 4, red, Entry
40.53s, 2, blue, Exit
40.57s, 4, blue, Entry
40.63s, 2, blue, Exit
40.67s, 3, red, Exit
40.67s, 4, blue, Entry
40.70s, 4, red, Entry
40.73s, 3, red, Exit
40.77s, 4, red, Entry
40.87s, 2, blue, Exit
40.90s, 3, red, Exit
40.93s, 4, blue, Entry
40.97s, 4, red, Entry
41.00s, 3, red, Exit
41.03s, 4, red, Entry
41.07s, 3, red, Exit
41.10s, 4, red, Entry
41.17s, 3, red, Exit
41.23s, 4, red, Entry
41.33s, 2, blue, Exit
41.37s, 4, blue, Entry
41.60s, 3, red, Exit
41.63s, 4, red, Entry
41.67s, 3, red, Exit
41.73s, 2, blue, Exit
41.77s, 4, blue, Entry
41.83s, 2, blue, Exit
41.97s, 4, blue, Entry
42.10s, 4, red, Entry
42.10s, 2, blue, Exit
42.13s, 4, blue, Entry
42.20s, 3, red, Exit
42.23s, 4, red, Entry
42.27s, 3, red, Exit
42.47s, 4, red, Entry
42.53s, 3, red, Exit
42.63s, 4, red, Entry
42.67s, 3, red, Exit
42.67s, 2, blue, Exit
42.77s, 4, red, Entry
42.77s, 4, blue, Entry
42.80s, 3, red, Exit
42.93s, 4, red, Entry
42.93s, 2, blue, Exit
42.97s, 3, red, Exit
42.97s, 4, blue, Entry
43.07s, 4, red, Entry
43.10s, 3, red, Exit
43.40s, 4, red, Entry
43.43s, 3, red, Exit
43.43s, 2, blue, Exit
43.47s, 4, blue, Entry
43.53s, 4, red, Entry
43.57s, 2, blue, Exit
43.73s, 3, red, Exit
43.73s, 4, blue, Entry
43.77s, 4, red, Entry
43.80s, 3, red, Exit
43.83s, 2, blue, Exit
43.90s, 4, blue, Entry
43.97s, 4, red, Entry
44.03s, 2, blue, Exit
44.10s, 4, blue, Entry
44.13s, 2, blue, Exit
44.23s, 4, blue, Entry
44.30s, 2, blue, Exit
44.33s, 4, blue, Entry
44.37s, 3, red, Exit
44.40s, 4, red, Entry
44.40s, 2, blue, Exit
44.43s, 4, blue, Entry
44.53s, 3, red, Exit
44.63s, 4, red, Entry
44.67s, 3, red, Exit
44.73s, 4, red, Entry
44.77s, 2, blue, Exit
44.80s, 3, red, Exit
44.80s, 4, blue, Entry
44.83s, 4, red, Entry
44.93s, 2, blue, Exit
44.97s, 3, red, Exit
44.97s, 4, blue, Entry
45.10s, 4, red, Entry
45.17s, 3, red, Exit
45.30s, 4, red, Entry
45.33s, 3, red, Exit
45.57s, 4, red, Entry
45.60s, 3, red, Exit
45.87s, 4, red, Entry
45.90s, 3, red, Exit
46.00s, 2, blue, Exit
46.03s, 4, blue, Entry
46.07s, 4, red, Entry
46.10s, 2, blue, Exit
46.13s, 4, blue, Entry
46.37s, 3, red, Exit
46.40s, 2, blue, Exit
46.53s, 4, blue, Entry
46.57s, 4, red, Entry
46.57s, 2, blue, Exit
46.70s, 3, red, Exit
46.73s, 4, blue, Entry
46.93s, 4, red, Entry
47.00s, 3, red, Exit
47.03s, 4, red, Entry
47.07s, 3, red, Exit
47.10s, 4, red, Entry
47.10s, 2, blue, Exit
47.23s, 3, red, Exit
47.23s, 4, blue, Entry
47.27s, 2, blue, Exit
47.30s, 4, red, Entry
47.30s, 4, blue, Entry
47.33s, 3, red, Exit
47.40s, 4, red, Entry
47.40s, 2, blue, Exit
47.43s, 4, blue, Entry
47.47s, 2, blue, Exit
47.50s, 3, red, Exit
47.50s, 4, blue, Entry
47.53s, 4, red, Entry
47.67s, 3, red, Exit
47.70s, 4, red, Entry
47.77s, 3, red, Exit
47.80s, 4, red, Entry
47.83s, 3, red, Exit
47.90s, 4, red, Entry
48.00s, 3, red, Exit
48.07s, 4, red, Entry
48.10s, 3, red, Exit
48.13s, 4, red, Entry
48.20s, 3, red, Exit
48.47s, 4, red, Entry
48.53s, 3, red, Exit
48.70s, 4, red, Entry
48.77s, 2, blue, Exit
48.80s, 4, blue, Entry
48.83s, 3, red, Exit
48.83s, 2, blue, Exit
49.03s, 4, blue, Entry
49.10s, 4, red, Entry
49.50s, 3, red, Exit
49.53s, 4, red, Entry
49.70s, 2, blue, Exit
49.73s, 3, red, Exit
49.83s, 4, blue, Entry
49.90s, 4, red, Entry
49.97s, 3, red, Exit
50.13s, 4, red, Entry
50.23s, 3, red, Exit
51.43s, 4, red, Entry
51.50s, 3, red, Exit
51.63s, 4, red, Entry
51.67s, 3, red, Exit
51.73s, 4, red, Entry
51.77s, 3, red, Exit
51.80s, 4, red, Entry
52.00s, 3, red, Exit
52.20s, 4, red, Entry
52.23s, 3, red, Exit
52.30s, 4, red, Entry
52.50s, 3, red, Exit
52.63s, 4, red, Entry
